source,region,period_start,period_end,overlapping_polity_rows,overlapping_dated_assertions,undated_assertions_in_region
seshat-polaris,Afghanistan,-3500,-2001,0,0,879
seshat-polaris,Afghanistan,-2000,-1001,0,0,879
seshat-polaris,Afghanistan,-1000,-1,2,8,879
seshat-polaris,Afghanistan,1,499,4,23,879
seshat-polaris,Afghanistan,500,999,2,8,879
seshat-polaris,Afghanistan,1000,1499,2,18,879
seshat-polaris,Afghanistan,1500,1799,1,2,879
seshat-polaris,Afghanistan,1800,1899,1,3,879
seshat-polaris,Afghanistan,1900,1999,0,0,879
seshat-polaris,Afghanistan,2000,2026,0,0,879
seshat-polaris,Amazonia,-3500,-2001,0,0,300
seshat-polaris,Amazonia,-2000,-1001,0,0,300
seshat-polaris,Amazonia,-1000,-1,0,0,300
seshat-polaris,Amazonia,1,499,0,0,300
seshat-polaris,Amazonia,500,999,0,0,300
seshat-polaris,Amazonia,1000,1499,0,0,300
seshat-polaris,Amazonia,1500,1799,1,7,300
seshat-polaris,Amazonia,1800,1899,2,5,300
seshat-polaris,Amazonia,1900,1999,1,0,300
seshat-polaris,Amazonia,2000,2026,0,0,300
seshat-polaris,Anatolia-Caucasus,-3500,-2001,2,5,3446
seshat-polaris,Anatolia-Caucasus,-2000,-1001,6,15,3446
seshat-polaris,Anatolia-Caucasus,-1000,-1,8,14,3446
seshat-polaris,Anatolia-Caucasus,1,499,4,8,3446
seshat-polaris,Anatolia-Caucasus,500,999,4,26,3446
seshat-polaris,Anatolia-Caucasus,1000,1499,6,63,3446
seshat-polaris,Anatolia-Caucasus,1500,1799,3,16,3446
seshat-polaris,Anatolia-Caucasus,1800,1899,3,13,3446
seshat-polaris,Anatolia-Caucasus,1900,1999,2,9,3446
seshat-polaris,Anatolia-Caucasus,2000,2026,0,0,3446
seshat-polaris,Andes,-3500,-2001,0,0,926
seshat-polaris,Andes,-2000,-1001,0,0,926
seshat-polaris,Andes,-1000,-1,1,0,926
seshat-polaris,Andes,1,499,2,9,926
seshat-polaris,Andes,500,999,3,6,926
seshat-polaris,Andes,1000,1499,5,8,926
seshat-polaris,Andes,1500,1799,1,4,926
seshat-polaris,Andes,1800,1899,0,0,926
seshat-polaris,Andes,1900,1999,0,0,926
seshat-polaris,Andes,2000,2026,0,0,926
seshat-polaris,Arabia,-3500,-2001,1,5,1175
seshat-polaris,Arabia,-2000,-1001,2,4,1175
seshat-polaris,Arabia,-1000,-1,4,4,1175
seshat-polaris,Arabia,1,499,4,4,1175
seshat-polaris,Arabia,500,999,4,2,1175
seshat-polaris,Arabia,1000,1499,4,4,1175
seshat-polaris,Arabia,1500,1799,4,3,1175
seshat-polaris,Arabia,1800,1899,3,2,1175
seshat-polaris,Arabia,1900,1999,0,0,1175
